<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IranAntibiotic.MFG,20241019,22900.00,23050.00,22100.00,22150.00,30497280150,1377870,609,D,22750.00,22100.00
IranAntibiotic.MFG,20241016,21700.00,22900.00,21700.00,22750.00,28878244800,1268874,974,D,22250.00,22900.00
IranAntibiotic.MFG,20241015,22250.00,22500.00,22250.00,22250.00,31244936100,1403607,592,D,22900.00,22250.00
IranAntibiotic.MFG,20241014,23150.00,23150.00,22200.00,22900.00,146681409800,6403548,1556,D,22500.00,22700.00
IranAntibiotic.MFG,20241013,22500.00,22500.00,22500.00,22500.00,26128192500,1161253,559,D,21850.00,22500.00
IranAntibiotic.MFG,20241012,21850.00,21850.00,21850.00,21850.00,20068329150,918459,496,D,21250.00,21850.00
IranAntibiotic.MFG,20241009,21400.00,21400.00,21400.00,21250.00,4635154400,216596,348,D,21200.00,21400.00
IranAntibiotic.MFG,20241008,21250.00,21350.00,21250.00,21200.00,2837425000,132902,408,D,21150.00,21350.00
IranAntibiotic.MFG,20241007,20800.00,21200.00,20800.00,21150.00,20707556500,978779,649,D,21000.00,21200.00
IranAntibiotic.MFG,20241006,20950.00,21000.00,20950.00,21000.00,12294201350,586833,184,D,21150.00,20950.00
IranAntibiotic.MFG,20241005,21150.00,21500.00,21150.00,21150.00,23386557300,1105229,570,D,21350.00,21150.00
IranAntibiotic.MFG,20241002,21350.00,21550.00,21350.00,21350.00,47199804200,2210516,568,D,21550.00,21500.00
IranAntibiotic.MFG,20241001,21650.00,21700.00,21550.00,21550.00,46758651850,2169281,618,D,21750.00,21550.00
IranAntibiotic.MFG,20240930,21850.00,21850.00,21550.00,21750.00,23048568300,1058692,737,D,21650.00,21700.00
IranAntibiotic.MFG,20240929,21500.00,21900.00,21500.00,21650.00,71687945050,3314640,948,D,21700.00,21850.00
IranAntibiotic.MFG,20240928,21500.00,21500.00,21500.00,21700.00,1492723500,69429,26,D,21700.00,21500.00
IranAntibiotic.MFG,20240925,21650.00,22100.00,21300.00,21700.00,34708111000,1601220,941,D,21700.00,21400.00
IranAntibiotic.MFG,20240924,21100.00,21850.00,21000.00,21700.00,41982391350,1934246,1227,D,21250.00,21750.00
IranAntibiotic.MFG,20240923,21000.00,21450.00,21000.00,21250.00,11639393750,546211,760,D,21150.00,21250.00
IranAntibiotic.MFG,20240922,21000.00,21350.00,21000.00,21150.00,5905347900,279654,654,D,21200.00,21150.00
IranAntibiotic.MFG,20240918,20950.00,21550.00,20950.00,21200.00,22374841200,1055997,853,D,21250.00,21500.00
IranAntibiotic.MFG,20240917,20650.00,21500.00,20600.00,21250.00,12825389850,601435,780,D,20900.00,21400.00
IranAntibiotic.MFG,20240916,21200.00,21200.00,20600.00,20900.00,22883442200,1096096,861,D,21150.00,20800.00
IranAntibiotic.MFG,20240915,21200.00,21400.00,20900.00,21150.00,36784082350,1737209,1145,D,20800.00,21200.00
IranAntibiotic.MFG,20240914,20400.00,20800.00,20250.00,20800.00,18484148950,888825,754,D,20240.00,20800.00
IranAntibiotic.MFG,20240911,19900.00,20400.00,19660.00,20240.00,19507801060,963827,1017,D,19810.00,20400.00
IranAntibiotic.MFG,20240910,19620.00,19950.00,19520.00,19810.00,7271373960,367913,682,D,19850.00,19820.00
IranAntibiotic.MFG,20240909,20000.00,20090.00,19400.00,19850.00,17969499660,905153,1030,D,19670.00,19670.00
IranAntibiotic.MFG,20240908,20000.00,20280.00,19370.00,19670.00,13341994410,678697,1170,D,19740.00,19370.00
IranAntibiotic.MFG,20240907,19460.00,19980.00,19460.00,19740.00,11290496710,571926,759,D,19750.00,19980.00
IranAntibiotic.MFG,20240903,19720.00,20330.00,19660.00,19750.00,20085629080,1016770,864,D,20060.00,19660.00
IranAntibiotic.MFG,20240901,20690.00,20730.00,19940.00,20060.00,33501281860,1669694,1014,D,20340.00,19960.00
IranAntibiotic.MFG,20240831,19990.00,20380.00,19990.00,20340.00,14567437190,715601,627,D,19990.00,20380.00
IranAntibiotic.MFG,20240828,19600.00,20220.00,19600.00,19990.00,11136471650,555967,898,D,19900.00,19890.00
IranAntibiotic.MFG,20240827,19480.00,20110.00,19480.00,19900.00,10624962730,532896,1663,D,19830.00,19890.00
IranAntibiotic.MFG,20240826,20120.00,20130.00,19600.00,19830.00,11496964090,578984,735,D,19740.00,19690.00
IranAntibiotic.MFG,20240824,19900.00,19900.00,19570.00,19740.00,9618272270,483928,732,D,19510.00,19900.00
IranAntibiotic.MFG,20240821,19060.00,19670.00,18940.00,19510.00,12383986100,632640,1085,D,19290.00,19630.00
IranAntibiotic.MFG,20240820,19500.00,19500.00,18880.00,19290.00,15889599480,823818,670,D,19260.00,19090.00
IranAntibiotic.MFG,20240819,19260.00,19260.00,19260.00,19260.00,20137061880,1045538,507,D,18890.00,19260.00
IranAntibiotic.MFG,20240818,18940.00,18940.00,18940.00,18890.00,13329025000,703750,370,D,18570.00,18940.00
IranAntibiotic.MFG,20240817,18880.00,18880.00,18880.00,18570.00,2558277760,135502,335,D,18510.00,18880.00
IranAntibiotic.MFG,20240814,18650.00,18650.00,18650.00,18510.00,3112125500,166870,330,D,18470.00,18650.00
IranAntibiotic.MFG,20240813,18170.00,18490.00,18130.00,18470.00,16846127400,912073,474,D,18310.00,18490.00
IranAntibiotic.MFG,20240812,18320.00,18320.00,18250.00,18310.00,14136551330,771688,679,D,18140.00,18320.00
IranAntibiotic.MFG,20240811,17930.00,18290.00,17930.00,18140.00,2684006770,146779,333,D,18110.00,18290.00
IranAntibiotic.MFG,20240810,18210.00,18210.00,18050.00,18110.00,6920962250,380204,593,D,18030.00,18210.00
IranAntibiotic.MFG,20240806,18010.00,18130.00,17950.00,18030.00,10657070860,592276,592,D,18130.00,18030.00
IranAntibiotic.MFG,20240805,18130.00,18300.00,18080.00,18130.00,7982192790,440548,694,D,18140.00,18110.00
IranAntibiotic.MFG,20240804,18140.00,18410.00,18140.00,18140.00,20710264510,1141629,857,D,18320.00,18140.00
IranAntibiotic.MFG,20240803,18550.00,18710.00,17890.00,18320.00,19277259810,1052420,993,D,18680.00,17910.00
IranAntibiotic.MFG,20240731,18980.00,19000.00,18530.00,18680.00,25288149180,1353461,806,D,19230.00,18700.00
IranAntibiotic.MFG,20240730,19280.00,19750.00,19010.00,19230.00,15826054440,823000,1001,D,19350.00,19330.00
IranAntibiotic.MFG,20240729,19540.00,19950.00,19070.00,19350.00,16963855240,876756,1110,D,19670.00,19070.00
IranAntibiotic.MFG,20240727,19670.00,19950.00,19550.00,19670.00,11046933260,561627,1262,D,19950.00,19760.00
